NOM_MUN_COMPO,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,CODE_REGION_COMPO,INTERNET,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV,telephone1,TELECOPIEUR1
Saint-Moïse,G0J 2Z0,5,21,1,cpelenfantjoue@globetrotter.net,QC,SERVICES DE GARDE L'ENFANT JOUE,CPE,1 - Bas-Saint-Laurent,"55, rue Principale",CR,(418) 776-2903,(418) 776-5412
Saint-Pascal,G0L 3Y0,5,57,1,cpepitatou@bellnet.ca,QC,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,1 - Bas-Saint-Laurent,"555, rue Hudon C.P. 3",CR,(418) 492-1378,(418) 492-1493
Saint-Épiphane,G0L 2X0,0,8,1,maryeve.gauvin@cpejardinsjolis.com,QC,DES P'TITS SOURIRES,CPE,1 - Bas-Saint-Laurent,"280, rue Sirois",CR,(418) 862-1117,(418) 862-6900
Sainte-Luce-Luceville,G0K 1P0,5,31,1,directiongenerale@cpelespinsons.com,QC,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,CPE,1 - Bas-Saint-Laurent,"20, rue des Coquillages",CR,(418) 739-5080,(418) 739-5109
Sayabec,G0J 3K0,5,31,1,cpelenfantjoue@globetrotter.net,QC,INSTALLATION SAYABEC,CPE,1 - Bas-Saint-Laurent,"6C, rue Keable",CR,(418) 536-2006,(418) 536-1818
Trois-Pistoles,G0L 4K0,5,41,1,direction@baleinebricoleuse.ca,QC,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,CPE,1 - Bas-Saint-Laurent,"566, rue Jean-Rioux",CR,(418) 851-2795,(418) 851-4385
Témiscouata-sur-le-Lac,G0L 1E0,10,50,1,cpe@cpebccalinours.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",CPE,1 - Bas-Saint-Laurent,"795, rue Commerciale Nord",CR,"(418) 854-0255, poste 500",(418) 854-1077
Témiscouata-sur-le-Lac,G0L 1X0,10,42,1,cpe@cpebccalinours.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" - INSTALLATION NOTRE-DAME",CPE,1 - Bas-Saint-Laurent,"684, rue Bélanger",CR,"(418) 854-0255, poste 501",(418) 940-0688
Alma,G8C 1N1,5,39,2,cpe.info@troispetitspas.net,QC,AU PAYS DES BOTTINES,CPE,2 - Saguenay - Lac-Saint-Jean,"501, rue Laliberté Est",CR,(418) 343-2588,(471) 343-2471
Alma,G8B 5S5,0,62,2,info@cpelabambinerie.com,QC,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,2 - Saguenay - Lac-Saint-Jean,"200, avenue Mcnaughton",CR,(418) 662-3649,(418) 662-2379
Alma,G8B 0G1,20,36,2,info@cpelabambinerie.com,QC,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,2 - Saguenay - Lac-Saint-Jean,"1065, rue Price Ouest",CR,(418) 662-3649,(418) 662-2379
Alma,G8E 2J1,10,70,2,cynthia.paquet@cpepicassos.com,QC,CENTRE DE LA PETITE ENFANCE LES PICASSOS DE L'ÎLE,CPE,2 - Saguenay - Lac-Saint-Jean,"121, rue Mistouk",CR,(418) 347-5826,(418) 347-1507
Alma,G8B 4S4,10,80,2,cpepleinsoleil@outlook.com,QC,CENTRE DE LA PETITE ENFANCE PLEIN SOLEIL,CPE,2 - Saguenay - Lac-Saint-Jean,"200, rue Price Ouest",CR,(418) 668-7658,(418) 668-7085
Alma,G8B 7G1,10,68,2,cpe@lenfantheque.qc.ca,QC,CPE L'ENFANTHÈQUE,CPE,2 - Saguenay - Lac-Saint-Jean,"200, rue Alarie Est",CR,(418) 668-6742,(418) 668-0732
Alma,G8B 0L4,15,73,2,garderieledp@gmail.com,QC,GARDERIE LES ÉTOILES DU LAC,GARD,2 - Saguenay - Lac-Saint-Jean,"322, rue Archambeault",,(581) 235-6635,
Alma,G8B 6V4,15,55,2,garderieurbaine@gmail.com,QC,LA GARDERIE URBAINE INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"65, rue St-Joseph",,"(418) 769-3255, poste 100",
Alma,G8B 4L4,0,24,2,mariefrance.cote@hotmail.com,QC,ÉCOLE MONTESSORI DU LAC-ST-JEAN,GARD,2 - Saguenay - Lac-Saint-Jean,"625, rue de la Gare Ouest",,(418) 720-7763,
Bégin,G0V 1B0,5,13,2,lespetitscailloux@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION BÉGIN,CPE,2 - Saguenay - Lac-Saint-Jean,"130A, rue Brassard",CR,(418) 549-7875,(418) 698-0824
Chambord,G0W 1G0,5,73,2,cpepetitstresors@cgocable.ca,QC,"CENTRE DE LA PETITE ENFANCE ""AUX PETITS TRESORS""",CPE,2 - Saguenay - Lac-Saint-Jean,"139, rue de la Plaine",CR,(418) 342-8185,(418) 342-1146
Chicoutimi,G7H 4E7,10,78,2,chicoutimi@achacunsonhistoire.com,QC,A chacun son histoire - Chicoutimi ! inc.,GARD,2 - Saguenay - Lac-Saint-Jean,"765, rue d'Alma",,(581) 882-0480,
Chicoutimi,G7J 0C5,15,57,2,raphaelle.allard@gmail.com,QC,ACADÉMIE DES MINI-AMOURS,GARD,2 - Saguenay - Lac-Saint-Jean,"1411, chemin de la Réserve",,(418) 973-9815,(418) 696-2898
Chicoutimi,G7H 6A3,10,80,2,stephane.claveau@cpecailloux.com,QC,"CENTRE DE LA PETITE ENFANCE ""LES TROTTINEURS"" INC.",CPE,2 - Saguenay - Lac-Saint-Jean,"717, rue Jacques-Cartier Est",CR,(418) 543-7222,(418) 543-3242
Chicoutimi,G7H 4J3,0,62,2,cpepj@cpeauxpetitesjoies.com,QC,CENTRE DE LA PETITE ENFANCE AUX PETITES JOIES INC.,CPE,2 - Saguenay - Lac-Saint-Jean,"290, rue du Séminaire",CR,(418) 543-0001,(418) 543-1002
Chicoutimi,G7G 1L7,10,80,2,cpelacachecacheab@gmail.com,QC,CENTRE DE LA PETITE ENFANCE LA CACHE-CACHE,CPE,2 - Saguenay - Lac-Saint-Jean,"250, rue Colbert",CR,(418) 545-8169,(418) 545-2932
Chicoutimi,G7J 0A9,5,47,2,cpelacajolerie@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LA CAJOLERIE,CPE,2 - Saguenay - Lac-Saint-Jean,"1165, rue des Carcajous",CR,(418) 545-8183,(418) 545-6483
Chicoutimi,G7J 1C9,10,80,2,direction@cpejardindelariviere.com,QC,CENTRE DE LA PETITE ENFANCE LE JARDIN DE LA RIVIERE INC.,CPE,2 - Saguenay - Lac-Saint-Jean,"75, rue Smith Ouest",CR,(418) 690-2072,(418) 690-5126
Chicoutimi,G7H 8E5,10,68,2,cpelesdegourdis@bellnet.ca,QC,CENTRE DE LA PETITE ENFANCE LES DÉGOURDIS,CPE,2 - Saguenay - Lac-Saint-Jean,"774, rue des Saguenéens",CR,(418) 690-0040,(418) 690-0050
Chicoutimi,G7H 6M3,10,80,2,helene.arsenault@cpeminimousses.ca,QC,CENTRE DE LA PETITE ENFANCE LES MINIMOUSSES,CPE,2 - Saguenay - Lac-Saint-Jean,"789, rue des Étudiants",CR,(418) 545-8681,(418) 545-8121
Chicoutimi,G7G 1J5,10,60,2,lespetitscailloux@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION CHICOUTIMI,CPE,2 - Saguenay - Lac-Saint-Jean,"210, rue Mézy",CR,(418) 698-4663,(418) 698-0824
Chicoutimi,G7H 4M1,5,21,2,lespetitscailloux@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION MILIEU ÉTUDIANT,CPE,2 - Saguenay - Lac-Saint-Jean,"847, rue Georges-Vanier",CR,(418) 549-7875,(418) 549-7875
Chicoutimi,G7H 1Z9,5,45,2,info@cpemikueniss.ca,QC,CENTRE DE LA PETITE ENFANCE MIKUENISS,CPE,2 - Saguenay - Lac-Saint-Jean,"491, rue Jacques-Cartier Est",CR,(581) 532-0727,(581) 532-0705
Chicoutimi,G7H 2Z7,5,65,2,info@cpebcdeslutins.com,QC,CPE AU PAYS DES LUTINS,CPE,2 - Saguenay - Lac-Saint-Jean,"100, rue Don-Bosco",CR,(418) 698-2500,(418) 698-4483
Chicoutimi,G7H 7J5,5,21,2,info@cpebcdeslutins.com,QC,CPE LA GRANGE AUX LUTINS,CPE,2 - Saguenay - Lac-Saint-Jean,"1480, rang Saint-Martin",CR,(418) 543-4200,(418) 543-1903
Chicoutimi,G7G 4E5,5,29,2,bebelougas@videotron.ca,QC,GARDERIE BÉBÉLOUGAS,GARD,2 - Saguenay - Lac-Saint-Jean,"101, rue Beaupré",CR,(418) 543-0969,(418) 543-3752
Chicoutimi,G7J 3P7,15,49,2,garderiema@videotron.ca,QC,GARDERIE LES MINIS AMOURS INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"1340, chemin de la Réserve",CR,(418) 696-9815,(418) 696-2898
Chicoutimi,G7J 3L6,5,31,2,garderielespetitesbricoles@hotmail.com,QC,GARDERIE LES PETITES BRICOLES,GARD,2 - Saguenay - Lac-Saint-Jean,"460, rue Legrand",CR,(418) 690-2502,(418) 690-0470
Chicoutimi,G7J 0G6,15,80,2,garderieledp@gmail.com,QC,GARDERIE LES ÉTOILES DU PARC,GARD,2 - Saguenay - Lac-Saint-Jean,"129, rue Cossette",,(418) 973-6033,
Chicoutimi,G7G 3N7,10,78,2,info@garderienature.ca,QC,GARDERIE NATURE,GARD,2 - Saguenay - Lac-Saint-Jean,"281, rue Pinel",,(514) 712-1139,
Chicoutimi,G7H 7K9,0,80,2,saguenay@petiteecolevision.com,QC,LA PETITE ÉCOLE VISION SAGUENAY,GARD,2 - Saguenay - Lac-Saint-Jean,"930, rue Jacques-Cartier Est C.P. 30",,(418) 973-0883,(418) 973-6783
Chicoutimi,G7J 3P7,0,15,2,garderiema@videotron.ca,QC,LA PRÉ-MATERNELLE DES MINIS AMOURS,GARD,2 - Saguenay - Lac-Saint-Jean,"1340, chemin de la Réserve",,(418) 696-9815,(418) 696-2898
Chicoutimi,G7H 2B1,0,12,2,univers@minimagiciens.ca,QC,UNIVERS DES MINI-MAGICIENS,GARD,2 - Saguenay - Lac-Saint-Jean,"555, boulevard de l'Université",,"(418) 545-5011, poste 2770",
Chicoutimi,G7H 1V2,0,36,2,ecole.montessori@csrsaguenay.qc.ca,QC,ÉCOLE MONTESSORI DU SAGUENAY,GARD,2 - Saguenay - Lac-Saint-Jean,"700, rue Racine Est",,(418) 690-1661,
Dolbeau-Mistassini,G8L 6A9,5,60,2,croquelune@hotmail.com,QC,CENTRE DE LA PETITE ENFANCE CROQUE-LUNE,CPE,2 - Saguenay - Lac-Saint-Jean,"175, avenue de la Fabrique",CR,(418) 276-6679,(418) 276-8022
Dolbeau-Mistassini,G8L 3X7,10,52,2,cpelesrenardeaux@hotmail.com,QC,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,CPE,2 - Saguenay - Lac-Saint-Jean,"124, avenue des Chutes",CR,(418) 276-8818,(418) 276-9900
Dolbeau-Mistassini,G8L 3J6,10,80,2,maryse@petitsboutsdechoux.ca,QC,GARDERIE LES PETITS BOUTS DE CHOUX,GARD,2 - Saguenay - Lac-Saint-Jean,"194, avenue Jean-Dolbeau",CR,(418) 276-7636,(418) 276-5465
Girardville,G0W 1R0,10,34,2,manlap@hotmail.com,QC,GARDERIE LA PETITE FABRIQUE INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"165, rue Principale",,(581) 651-8181,
Hébertville,G8N 1T1,5,21,2,stramgram@cgocable.ca,QC,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000,CPE,2 - Saguenay - Lac-Saint-Jean,"415, rue Turgeon",CR,(418) 349-8190,(418) 349-8026
Jonquière,G7X 2T3,10,80,2,direction@cpejardinensante.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LE JARDIN ENSANTÉ""",CPE,2 - Saguenay - Lac-Saint-Jean,"3641, rue Saint-Bernard",CR,(418) 542-9464,(418) 542-0564
Jonquière,G7X 3W1,10,80,2,cpe@cpedelasagamie.com,QC,CENTRE DE LA PETITE ENFANCE DE LA SAGAMIE,CPE,2 - Saguenay - Lac-Saint-Jean,"3740, rue Panet",CR,(418) 542-9862,(418) 542-3589
Jonquière,G7S 2X6,5,78,2,cpegg@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE GARI-GATOU INC.,CPE,2 - Saguenay - Lac-Saint-Jean,"2126, rue Burma",CR,(418) 548-6573,(418) 548-8882
Jonquière,G7S 5Y2,10,80,2,lynn.charest@cpelapirouette.ca,QC,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,CPE,2 - Saguenay - Lac-Saint-Jean,"3200, rue Sainte-Émilie",CR,(418) 548-3003,(418) 548-9908
Jonquière,G7S 5M9,10,70,2,louisetremblay@cpesourisverte.com,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE,CPE,2 - Saguenay - Lac-Saint-Jean,"3240, rue du Roi-Georges",CR,(418) 548-0809,(418) 548-7163
Jonquière,G7S 4B2,5,21,2,louisetremblay@cpesourisverte.com,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE CENTRE MULTISERVICES ST-JEAN-EUDES,CPE,2 - Saguenay - Lac-Saint-Jean,"2182, rue Bonneau",CR,(418) 548-0809,(418) 548-7163
Jonquière,G7X 6H3,5,21,2,louisetremblay@cpesourisverte.com,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE- INSTALLATION ST-LAURENT,CPE,2 - Saguenay - Lac-Saint-Jean,"2122, rue du Père-Lalemant",CR,(418) 548-0809,(418) 548-7163
Jonquière,G7S 3N6,10,80,2,cpepetitspoussins@qc.aira.com,QC,CENTRE DE LA PETITE ENFANCE LES PETITS POUSSINS,CPE,2 - Saguenay - Lac-Saint-Jean,"2120, rue Gilbert",CR,(418) 548-2247,(418) 548-5520
Jonquière,G7X 2Z4,0,16,2,cpe@cpedelasagamie.com,QC,CENTRE DE LA PETITE ENFANCE VERT L'AVENTURE,CPE,2 - Saguenay - Lac-Saint-Jean,"3842, boulevard Harvey",CR,(418) 542-9862,
Jonquière,G7T 0B4,0,54,2,exploratout@yahoo.ca,QC,EXPLORATOUT INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"2540, rue Taillon",,(418) 412-9412,
Jonquière,G7X 4G7,5,37,2,garderiejetaime@hotmail.com,QC,GARDERIE JE T'AIME,GARD,2 - Saguenay - Lac-Saint-Jean,"2121, rue Pasteur",CR,(418) 547-4077,(418) 547-6074
Jonquière,G7X 3A5,10,80,2,lespetitesoreilles@outlook.com,QC,GARDERIE LES P'TITES OREILLES,GARD,2 - Saguenay - Lac-Saint-Jean,"3714, boulevard Harvey",,(581) 684-8386,(581) 684-8386
Jonquière,G7Z 0A2,5,21,2,garderie_lespetitsmooses@hotmail.com,QC,GARDERIE LES PETITS MOOSES INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"4210, boulevard du Royaume",,(418) 542-3000,
Jonquière,G7X 0E6,10,41,2,kimy1904@hotmail.fr,QC,GARDERIE LEURS PREMIERS PAS 2014 INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"3843, rue Colbert",,(418) 695-9631,
Jonquière,G7X 0N8,10,50,2,kimy1904@hotmail.fr,QC,GARDERIE LEURS PREMIERS PAS 2014 INC. (2 ÈME INSTALLATION),GARD,2 - Saguenay - Lac-Saint-Jean,"3878, rue Saint-Jean",,(418) 695-9632,
Jonquière,G7X 9E1,35,75,2,cat01comeau@hotmail.com,QC,L'UNIVERS DES POUPONS,GARD,2 - Saguenay - Lac-Saint-Jean,"2170, rue des Étudiants",CR,(418) 547-2323,(418) 542-4093
Jonquière,G7Z 1N3,10,80,2,cat01comeau@hotmail.com,QC,LE MONDE DES ENFANTS,GARD,2 - Saguenay - Lac-Saint-Jean,"4142, rue Marc-Aurèle",CR,(418) 542-4353,(418) 542-4353
Jonquière,G7Z 1A9,10,67,2,lepetitmondedesas@gmail.com,QC,LE PETIT MONDE DES ARTS ET DES SPORTS,GARD,2 - Saguenay - Lac-Saint-Jean,"2420, rue des Marronniers",,(418) 817-5476,
Jonquière,G7S 3S1,15,41,2,exploratout@yahoo.ca,QC,MINI-EXPLORATOUT INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"2234, rue Poitras",,(418) 412-9412,
Jonquière,G7X 0M5,10,80,2,cat01comeau@hotmail.com,QC,ROYAUME DES ENFANTS,GARD,2 - Saguenay - Lac-Saint-Jean,"4010, rue des Mouettes",CR,(418) 542-4363,(418) 542-4093
L'Anse-Saint-Jean,G0V 1J0,0,16,2,cpe@mini-monde.com,QC,CENTRE DE LA PETITE ENFANCE MINI-MONDE INSTALLATION DE L'ANSE-ST-JEAN,CPE,2 - Saguenay - Lac-Saint-Jean,"157A, Route 170",CR,(418) 272-1760,(418) 272-2467
La Baie,G0V 1A0,15,80,2,sara.jomphe@cpealouette.com,QC,CENTRE DE LA PETITE ENFANCE ALOUETTE,CPE,2 - Saguenay - Lac-Saint-Jean,"1775, rue Lucien-Lecompte",CR,"(418) 677-4000, poste 7048",(418) 677-7936
La Baie,G7B 2Y7,10,54,2,heleneltournesol@royaume.com,QC,CENTRE DE LA PETITE ENFANCE LE TOURNESOL DU FJORD,CPE,2 - Saguenay - Lac-Saint-Jean,"1001, rue du Docteur-Desgagné",CR,(418) 544-9202,(418) 544-0377
La Baie,G7B 1Y7,5,60,2,cpe@mini-monde.com,QC,CENTRE DE LA PETITE ENFANCE MINI-MONDE,CPE,2 - Saguenay - Lac-Saint-Jean,"701, 5e Rue",CR,(418) 544-8380,(418) 544-4031
La Baie,G7B 3M8,20,80,2,nboudro76@hotmail.com,QC,GARDERIE L'UNIVERS DES TOUT P'TITS INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"781, rue de Victoria",,(418) 812-7503,
Larouche,G0W 1Z0,5,29,2,cpe.info@troispetitspas.net,QC,LE JARDIN D'AMIS À LAROUCHE,CPE,2 - Saguenay - Lac-Saint-Jean,"651, rue Gagné",CR,(418) 343-2588,(418) 343-2471
