Année,Arrondissement,Numéro d'arrondissement,Secteur,Mode de financement,Conseil,Catégorie,Application,Catégorie d'immeubles,Description des immeubles,Valeur minimale d'application,Valeur maximale d'application,Taux,Règle d'application
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,6412",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"2,6427",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"3,1633",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"1,2744",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,0024",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0024",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"0,0102",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"0,0123",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"0,0048",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0831",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Tous les immeubles,Tous les immeubles,0,,"0,1250",$ / 100 $ d'évaluation
2020,Anjou,9,,Crédit,Conseil municipal,Tarification de l'eau,Simple,Mixtes,Immeubles mixtes,0,,"-42,4439",$ / 227 m3 / (logement ou chambre)
2020,Anjou,9,,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Immeubles résidentiels,0,,20,$ / logement
2020,Anjou,9,,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Maisons de chambres,0,,10,$ / chambre
2020,Anjou,9,,Tarification,Conseil municipal,Tarification de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,1869775",$ / m3
2020,Anjou,9,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels utilisés comme usines ou manufactures légères,100001,,"0,58",$ / m3
2020,Anjou,9,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,0963",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0844",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,3210",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Résidentiels,Immeubles résidentiels,0,,"0,0035",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,0228",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,6340",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,6380",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"2,6202",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"3,1407",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"1,2680",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,0024",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0024",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"0,0102",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"0,0123",$ / 100 $ d'évaluation
2020,Anjou,9,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"0,0048",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0311",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0436",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels,100001,,"0,22",$ / m3
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels utilisés comme usines ou manufactures légères,100001,,"0,58",$ / m3
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,1043",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,1043",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,3472",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Résidentiels,Immeubles résidentiels,0,,"0,0035",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,0228",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,6372",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,6412",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"2,6427",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"3,1633",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"1,2744",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,0024",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0024",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"0,0102",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"0,0123",$ / 100 $ d'évaluation
2020,Côte-des-Neiges–Notre-Dame-de-Grâce,27,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"0,0048",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0772",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Immeubles résidentiels,0,,30,$ / logement
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Maisons de chambres,0,,20,$ / chambre
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Chalets,0,,30,$ / unité
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Tarification,Conseil municipal,Tarification de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,160,$ / local
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Tarification,Conseil municipal,Tarification de l'eau,Simple,Mixtes,Immeubles mixtes,0,,270,$ / local
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,0973",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0736",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,2905",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,6040",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,6080",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"2,5195",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"3,0400",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,L'Île-Bizard,Taxation,Conseil municipal,Taxe foncière générale,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"1,2080",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0768",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Immeubles résidentiels,0,,30,$ / logement
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Maisons de chambres,0,,30,$ / immeuble
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Tarification,Conseil municipal,Tarification de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,175,$ / local
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels,"227,4",,"0,274967",$ / m3
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Tarification,Conseil municipal,Tarification des matières résiduelles,Simple,Résidentiels,Immeubles résidentiels,0,,60,$ / logement
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Tarification,Conseil municipal,Tarification des matières résiduelles,Simple,Résidentiels,Maisons de chambres,0,,50,$ / chambre
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,0922",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0809",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,2622",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,5891",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,5683",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"2,5593",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"3,0798",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,Sainte-Geneviève,Taxation,Conseil municipal,Taxe foncière générale,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"1,1782",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0586",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels utilisés comme usines ou manufactures légères,100001,,"0,58",$ / m3
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Résidentiels,Immeubles résidentiels,0,,"0,0035",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,0228",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,0024",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0024",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"0,0102",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"0,0123",$ / 100 $ d'évaluation
2020,L'Île-Bizard–Sainte-Geneviève,6,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"0,0048",$ / 100 $ d'évaluation
2020,Lachine,17,Lachine,Tarification,Conseil municipal,Tarification de l'eau,Règles,Non résidentiels,Immeubles non résidentiels,0,,,"Le plus élevé de a) 30$ par logement et 150$ par établissement, ou b) 0,33 $/m3 jusqu'à 454 069 m3 et 0,2552 $/m3 pour l'excédent."
2020,Lachine,17,Lachine,Tarification,Conseil municipal,Tarification de l'eau,Règles,Mixtes,Immeubles mixtes,0,,,"Le plus élevé de a) 30$ par logement et 150$ par établissement, ou b) 0,33 $/m3 jusqu'à 454 069 m3 et 0,2552 $/m3 pour l'excédent."
2020,Lachine,17,Saint-Pierre,Tarification,Conseil municipal,Tarification de l'eau,Règles,Non résidentiels,Immeubles non résidentiels,0,,,"Le plus élevé de a) 0,90 $/m3, b) 30$ par logement ou 360$ par établissement, ou c) tarif selon le type de compteur: de 1 300$ à 4 700$."
2020,Lachine,17,Saint-Pierre,Tarification,Conseil municipal,Tarification de l'eau,Règles,Mixtes,Immeubles mixtes,0,,,"Le plus élevé de a) 0,90 $/m3, b) 30$ par logement ou 360$ par établissement, ou c) tarif selon le type de compteur"
2020,Lachine,17,,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0526",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0524",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Résidentiels,Immeubles résidentiels,0,,"49,52",$ / logement 
2020,Lachine,17,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Non résidentiels,Immeubles non résidentiels,0,,"49,52",$ / établissement
2020,Lachine,17,,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Immeubles résidentiels,0,,30,$ / logement
2020,Lachine,17,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels utilisés comme usines ou manufactures légères,100001,,"0,58",$ / m3
2020,Lachine,17,,Tarification,Conseil municipal,Tarification des matières résiduelles,Simple,Résidentiels,Immeubles résidentiels,0,,60,$ / logement
2020,Lachine,17,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,0927",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0746",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,2925",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Résidentiels,Immeubles résidentiels,0,,"0,0035",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,0228",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,5895",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,5559",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"2,5463",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe foncière générale,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"3,0668",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"1,1790",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,0024",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0024",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui n'excède pas 625 000 $",0,625000,"0,0102",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Paliers,Non résidentiels,"Immeubles non résidentiels, tranche de valeur qui excède 625 000 $",625001,,"0,0123",$ / 100 $ d'évaluation
2020,Lachine,17,,Taxation,Conseil municipal,Taxe spéciale relative à l'ARTM,Simple,Terrains vagues desservis,Terrains vagues desservis,0,,"0,0048",$ / 100 $ d'évaluation
2020,LaSalle,18,,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0466",$ / 100 $ d'évaluation
2020,LaSalle,18,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0500",$ / 100 $ d'évaluation
2020,LaSalle,18,,Tarification,Conseil municipal,Tarification de l'eau,Simple,Résidentiels,Immeubles résidentiels,0,,30,$ / logement
2020,LaSalle,18,,Tarification,Conseil municipal,Tarification de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,90,$ / local
2020,LaSalle,18,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels,256,425,"0,37",$ / m3
2020,LaSalle,18,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels,426,,"0,41",$ / m3
2020,LaSalle,18,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels utilisés comme usines ou manufactures légères,100001,,"0,58",$ / m3
2020,LaSalle,18,,Tarification,Conseil municipal,Tarification des matières résiduelles,Simple,Résidentiels,Immeubles résidentiels,0,,60,$ / logement
2020,LaSalle,18,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,0897",$ / 100 $ d'évaluation
2020,LaSalle,18,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,0731",$ / 100 $ d'évaluation
